NODE,Æ½¾ùÖµ,NUM=162,NUM=243,NUM=324,NUM=405,NUM=486,NUM=567,NUM=648,NUM=729,NUM=810,NUM=891,NUM=972,NUM=1053,NUM=1134,NUM=1215,NUM=1296,NUM=1377,NUM=1458,NUM=1539,NUM=1620,NUM=1701,NUM=1782,NUM=1863,NUM=1944,NUM=2025,NUM=2106,NUM=2187,NUM=2268,NUM=2349,NUM=2430
C53,1394.137931,129,282,458,644,659,843,846,1044,1057,1062,1266,1270,1292,1502,1502,1516,1522,1756,1760,1754,1775,1790,2023,2043,2044,2067,2075,2087,2362
D53,1382.068966,132,291,470,656,669,852,854,1044,1055,1063,1261,1265,1286,1494,1494,1505,1508,1741,1746,1732,1756,1766,1997,2008,2010,2021,2038,2056,2310
C54,1297.689655,115,254,416,588,603,773,776,962,976,981,1171,1176,1198,1394,1394,1409,1416,1638,1642,1636,1657,1673,1894,1913,1914,1938,1946,1960,2220
D54,1280.206897,118,263,428,600,613,782,784,960,971,979,1163,1167,1188,1382,1382,1393,1396,1615,1620,1606,1630,1640,1857,1868,1870,1881,1898,1916,2156
D51,1018.172414,82,191,320,456,467,602,604,744,755,763,910,915,936,1094,1094,1105,1108,1291,1296,1282,1306,1316,1497,1508,1510,1521,1538,1556,1760
E63,860.7586207,64,146,236,341,353,462,476,587,598,610,749,753,771,914,913,894,909,1071,1083,1073,1090,1151,1322,1333,1364,1375,1390,1350,1584
C51,859.7586207,76,171,287,412,428,551,565,692,691,705,832,832,838,964,962,964,960,1086,1086,1086,1085,1082,1208,1208,1208,1208,1208,1208,1330
E62,838.7241379,61,143,237,343,362,465,475,595,598,610,735,745,750,876,875,886,915,1059,1058,1037,1062,1115,1255,1266,1296,1314,1334,1335,1521
E67,832.3448276,45,112,186,292,309,408,426,536,533,546,666,684,703,841,849,876,891,1030,1049,1108,1133,1165,1323,1297,1337,1359,1371,1420,1643
E52,830.862069,64,150,230,320,327,418,451,529,548,556,689,700,720,857,861,875,906,1009,1029,1085,1111,1173,1249,1267,1294,1331,1333,1434,1579
B51,818.3448276,69,153,256,367,378,483,491,601,609,619,731,733,740,874,878,887,905,1030,1043,1044,1060,1065,1203,1207,1223,1221,1222,1242,1398
D46,812.4482759,60,142,246,348,357,461,459,570,584,589,705,711,733,862,862,877,876,1034,1038,1021,1046,1058,1213,1225,1222,1253,1269,1279,1461
D67,793.3103448,42,108,181,279,295,392,396,503,518,536,649,660,675,809,818,844,864,993,1003,1050,1060,1095,1247,1249,1258,1284,1300,1343,1555
D47,768.137931,67,145,228,325,329,432,427,534,550,551,665,668,686,808,808,826,823,977,978,965,987,1001,1159,1159,1159,1193,1203,1225,1398
D63,767.5517241,55,135,214,317,328,428,434,536,541,548,673,676,693,819,818,813,840,956,973,973,984,1013,1155,1161,1191,1184,1200,1214,1387
D62,752.137931,57,130,216,322,336,436,442,557,556,570,675,679,683,796,796,815,829,945,943,949,970,982,1117,1118,1135,1136,1146,1158,1318
E66,743.6896552,37,91,147,241,257,342,358,452,470,482,587,600,618,739,744,774,794,919,936,987,1012,1054,1200,1172,1202,1264,1271,1304,1513
D52,741.4137931,60,145,221,306,310,399,416,501,517,522,638,647,662,783,786,772,792,905,921,948,960,997,1105,1114,1151,1154,1162,1232,1375
B46,716.4137931,53,125,214,311,322,413,421,517,525,535,633,635,642,762,766,775,793,904,917,918,934,939,1063,1067,1083,1081,1082,1102,1244
E55,704.7586207,42,101,166,251,258,333,338,427,432,446,555,565,583,699,704,732,740,857,873,924,961,992,1130,1102,1132,1194,1201,1243,1457
D64,676.4827586,47,119,181,253,259,329,350,419,437,445,550,555,568,679,683,697,717,824,831,868,878,920,1080,1072,1082,1115,1132,1178,1350
D66,675.1724138,29,76,131,201,213,287,308,394,413,428,522,535,551,665,675,701,734,855,881,913,925,947,1092,1094,1117,1153,1193,1192,1355
E44,670,47,103,164,223,230,299,303,387,395,406,522,531,549,651,667,686,709,821,835,875,921,936,1085,1068,1077,1159,1205,1186,1390
E65,649.4482759,36,78,123,185,194,266,286,365,406,422,491,500,525,634,636,663,699,811,838,871,885,908,1041,1053,1077,1173,1216,1143,1309
D65,645.3793103,28,72,125,187,196,266,283,364,397,411,491,500,522,636,639,665,701,813,838,868,881,909,1043,1043,1069,1141,1181,1146,1301
C62,625.5517241,52,116,193,283,293,389,399,500,502,506,599,598,603,703,703,706,707,799,800,801,801,790,880,882,886,888,888,890,984
C46,620.5517241,58,133,228,323,337,420,425,515,513,516,599,599,602,688,688,688,688,774,774,774,774,774,860,860,860,860,860,860,946
B48,616.8275862,41,97,173,255,267,343,354,434,441,451,537,540,546,652,656,664,684,778,794,797,812,815,929,935,950,944,942,963,1094
C48,613.9310345,51,119,208,300,322,408,403,501,499,507,591,588,596,685,683,682,686,773,774,774,774,774,860,860,860,860,860,860,946
C63,593.1034483,52,121,195,288,300,389,396,485,484,488,574,574,574,660,660,660,660,746,746,746,746,746,832,832,832,832,832,832,918
E56,581.6896552,31,65,102,156,166,228,247,306,308,340,432,435,467,565,569,588,618,744,748,783,817,822,953,962,976,1061,1087,1067,1226
C47,572.6206897,62,141,221,308,316,390,395,474,474,474,553,553,553,632,632,632,632,711,711,711,711,711,790,790,790,790,790,790,869
D55,570.9310345,37,100,166,243,248,316,317,396,397,404,487,492,498,587,587,616,618,718,729,737,746,759,872,863,887,875,880,918,1064
E42,549.9655172,24,51,81,129,138,196,216,281,322,338,393,402,427,522,524,551,587,685,712,745,759,782,901,920,944,1041,1120,1003,1155
D44,548.137931,41,97,157,215,220,282,283,355,356,364,444,451,460,560,560,570,583,683,677,700,745,736,875,868,864,908,912,887,1043
B63,540.2068966,49,112,179,251,256,338,342,425,428,427,507,507,528,619,599,631,620,696,674,682,683,688,792,800,733,742,742,759,857
