EXIT,A1,C38,C39,C40
162,52,18,26,68
243,65,29,39,113
324,67,41,52,168
405,69,54,67,220
486,81,64,81,266
567,87,75,100,312
648,91,86,117,362
729,96,99,134,409
810,101,110,149,460
891,116,121,163,502
972,122,132,179,551
1053,127,143,195,601
1134,137,154,212,645
1215,142,165,228,695
1296,152,176,241,743
1377,161,187,257,789
1458,165,198,273,840
1539,174,209,289,886
1620,186,220,304,930
1701,193,231,317,981
1782,203,244,331,1026
1863,211,256,346,1073
1944,219,268,362,1119
2025,225,280,380,1165
2106,235,291,393,1213
2187,242,303,408,1261
2268,252,315,423,1306
2349,257,327,440,1354
2430,262,339,456,1403
